Company;Category;Application Timing;Key Evaluation Criteria;Typical Requirements
EY-Parthenon;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Monitor Deloitte;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Booz Allen Hamilton;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
North Highland;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Infosys Consulting;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Cognizant Consulting;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
NTT Data Consulting;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Protiviti;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Horváth;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Q_PERIOR;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
KPMG Strategy;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
Delta Partners;Consulting;6–12 months before start (rolling for some firms);GPA above 16, case interview skills, internships (consulting/strategy), leadership, international exposure;Relevant internships, case prep, extracurricular leadership, international experience recommended
