Nova SBE  Student Clubs (Source: novasu.pt/clubs);;;;;;
Skills and career relevance tagged using the same keys as the courses database. Use this sheet to suggest clubs to students in the simulator.;;;;;;
Club Name;Category;Description;Career Relevance;Skills Built;Instagram;Notes
Nova Startup Club;Entrepreneurship & Innovation;Inspires students to innovate, collaborate, and lead entrepreneurial ventures, offering a platform to develop ideas and connect with the startup ecosystem.;entrepreneurship, tech;leadership, business_strategy, networking;instagram.com/novastartupclub/;
Innovation Ecosystem Club;Entrepreneurship & Innovation;Drives creativity and innovation at Nova SBE, inspiring purpose-driven leaders to tackle tomorrow's challenges through sustainable and impactful initiatives.;entrepreneurship, tech, sustainability;leadership, business_strategy, networking;instagram.com/innovationecosystemclub/;
Tech Club Nova;Technology & Data;Enhances students' tech expertise through workshops, hackathons, and industry partnerships. Explores AI, fintech, and data science.;tech, investment_banking;technical, analytical, networking;instagram.com/techclubatnova/;
Oikos Lisbon;Sustainability & Social Impact;Nova SBE's social and environmental club, empowering future leaders to create meaningful change toward a sustainable future.;sustainability;leadership, communication, networking;instagram.com/oikoslisbon/;
Leadership For Impact Student Club;Sustainability & Social Impact;Focuses on creating meaningful societal change by applying students' expertise to the social sector. Facilitates impactful collaborations.;sustainability, consulting;leadership, communication, networking;instagram.com/lfistudentclub/;
Nova Thirst Project;Sustainability & Social Impact;Philanthropic initiative dedicated to raising funds to build freshwater wells in communities lacking access to clean drinking water.;sustainability;leadership, communication, networking;instagram.com/novathirstprojectpt/;
Nova Africa Student Group;Sustainability & Social Impact;Connects students with the NOVAFRICA Knowledge Centre, fostering collaboration and engagement to address Africa's social and economic challenges.;sustainability;international, networking, analytical;instagram.com/novafricastudentgroup/;
Nova Economics Club;Economics & Policy;Bridges the gap between Nova SBE's academic community and society by promoting economic research and critical discussions on key economic issues.;sustainability, consulting;analytical, communication, business_strategy;instagram.com/novaeconomicsclub/;
Nova Politics Club;Economics & Policy;Nova SBE's platform for political discussion and analysis, connecting students with current issues in politics and international affairs.;sustainability;communication, analytical, international;instagram.com/novapoliticsclub/;
CEMS Club Lisbon;Economics & Policy;Part of a global network of 30 CEMS Clubs. Organises events across Social, Sustainability, and Corporate Relations pillars for home and exchange students.;consulting, sustainability, marketing;international, networking, communication;instagram.com/cemsclublisbon/;
Nova Growth Club;Personal Development;Nova's hub for personal growth, offering the 8-week 'NGC ONE' program focused on introspection, goal-setting, productivity, and mental health.;consulting, entrepreneurship, marketing, sustainability;leadership, communication;instagram.com/novagrowthclub/;
Nova Skills Association;Personal Development;Promotes the importance of power skills by organising events and workshops that enhance personal and professional development.;consulting, entrepreneurship, marketing, sustainability;communication, leadership;instagram.com/novaskillsassociation/;
Nova Debate SBE;Personal Development;Hub for debate and discussion at Nova SBE. Provides an inclusive platform for meaningful conversations, encouraging critical thinking and public speaking.;consulting, sustainability;communication, analytical;instagram.com/nova.debate.sbe/;
Women in Business;Personal Development;Focuses on addressing gender disparities in business and academia. Empowers women through events, discussions, and mentorship.;consulting, marketing, entrepreneurship;leadership, networking, communication;instagram.com/novawomeninbusiness/;
Nova Mindspace;Personal Development;Committed to promoting physical and mental well-being through workshops, events, and activities fostering a balanced and healthy lifestyle.;consulting, entrepreneurship;leadership;instagram.com/nova_mindspace/;
Nova Golf Club;Sports;Brings together students, professionals, and staff through golf, welcoming all skill levels and building a competitive NOVA Golf Team for intercollegiate competitions.;consulting, investment_banking;networking;instagram.com/nova_golf_club/;
Nova Surf Club;Sports;Vibrant student-led community promoting surfing through organized activities catering to all experience levels, encouraging camaraderie.;;leadership;instagram.com/novasurfclub/;
Nova Sports Management;Sports;Dedicated to shaping successful careers in the sports industry by connecting students with professionals and providing insights into sports management.;marketing, entrepreneurship;networking, business_strategy;instagram.com/novasportsmanagement/;
Nova Strategy Games;Sports;Brings together students passionate about strategy games, offering opportunities to train, compete, and relax while sharpening strategic thinking.;consulting;analytical;instagram.com/novastrategygames/;
Nova Awareness Club;Culture & Media;Nova SBE's online newspaper where students share insights and opinions on economics, finance, politics, environment, arts, and culture.;marketing, sustainability;communication, analytical;instagram.com/novaawarenessclub/;
Nova Music Club;Culture & Media;Cultural initiative enriching the campus and local community by sharing a passion for music through events, performances, and creative collaborations.;;communication;instagram.com/novamusicclub/;
Tuna "Fortuna";Culture & Media;Nova SBE's academic music group, dedicated to celebrating university traditions through music and enriching campus cultural life.;;communication;instagram.com/fortunanovasbe/;
Nova Brasil Club;Culture & Media;Focused on sharing Brazil's culture and uniting the community, bridging the gap between Brazil and the world beyond borders.;;international, networking;instagram.com/novabrasilclub/;
Nova Hospitality Club;Culture & Media;Student-led initiative exploring the hospitality industry's role in society through talks, events, and customer service consulting projects.;marketing, entrepreneurship;communication, networking, business_strategy;instagram.com/nova_hospitalityclub/;
Nova History Club;Culture & Media;Celebrates history by delving into the past to understand and honor the figures and events that shaped today's world.;;analytical, communication;instagram.com/novahistoryclub/;
